AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	source_name	time_point	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	background_strain	cell_type
101	SAMN07967675	SRX3355821	2071	1003	SRR6248841	SRS2654927	GSM2837853	c-Maf flfl	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967674	SRX3355822	2353	968	SRR6248842	SRS2654928	GSM2837854	c-Maf flfl	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967673	SRX3355823	1774	733	SRR6248843	SRS2654929	GSM2837855	c-Maf flfl	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
101	SAMN07967672	SRX3355824	1730	835	SRR6248844	SRS2654930	GSM2837856	c-Maf flfl CD4Cre	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967671	SRX3355825	2276	937	SRR6248845	SRS2654931	GSM2837857	c-Maf flfl CD4Cre	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967670	SRX3355826	1628	672	SRR6248846	SRS2654932	GSM2837858	c-Maf flfl CD4Cre	CD4+ T cells (Th17 EAE model)	day 14-16 post EAE induction	CNS (brain and spinal cord)	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
101	SAMN07967677	SRX3355827	3010	1432	SRR6248847	SRS2654933	GSM2837859	c-Maf flfl	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967676	SRX3355828	1885	738	SRR6248848	SRS2654934	GSM2837860	c-Maf flfl	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967669	SRX3355829	1914	754	SRR6248849	SRS2654935	GSM2837861	c-Maf flfl	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
101	SAMN07967668	SRX3355830	4328	2065	SRR6248850	SRS2654936	GSM2837862	c-Maf flfl CD4Cre	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
