motif_name,WT_Tfh_vs_WT_Th1,DKO_Th1_vs_WT_Th1,DKO_Th1_vs_Bcl6KO_Th1,DKO_Tfh_vs_WT_Tfh,DKO_Tfh_vs_Prdm1KO_Tfh
AP-1(bZIP),28.73,29.26,28.79,25.7,21.74
BATF(bZIP),27.47,28.42,28.03,23.66,18.99
Atf3(bZIP),27.36,28.3,27.93,23.52,19.03
JunB(bZIP),24.41,25.43,25.39,20.9,16.72
KLF5(Zf),25.97,26.35,29.55,31.05,32.36
KLF6(Zf),20.82,21.08,23.55,24.42,26.07
Tbr1(T-box),29.82,33.53,32.92,41.69,41.4
Tbet(T-box),25.44,29.74,29.23,38.62,38.81
RUNX1(Runt),34.52,47.98,44.17,54.96,54.66
RUNX2(Runt),28.56,39.16,37.21,48.53,48.13
RUNX(Runt),25.69,37.29,34.48,44.87,44.19
RUNX-AML(Runt),25.67,36.61,34.16,43.73,43.15
Tcf4(HMG),32.62,30.38,29.77,11.16,10.99
ERG(ETS),49.17,44.51,44.77,49.5,50.48
ETV1(ETS),43.1,38.6,39.31,43.49,44.23
Fli1(ETS),38.93,33.13,34.67,38.89,39.77
ETS1(ETS),37.58,33.33,34.29,38.86,40.96
EHF(ETS),36.81,33.13,33.87,35.82,36.54
Etv2(ETS),35.4,31.66,31.87,37.69,38.65
GABPA(ETS),31.72,27.86,28.5,31.81,32.96
EWS:ERG-fusion(ETS),29.16,25.59,25.74,29.43,28.58
