motif_name,WT_Tfh_vs_WT_Th1,DKO_Th1_vs_WT_Th1,DKO_Th1_vs_Bcl6KO_Th1,DKO_Tfh_vs_WT_Tfh,DKO_Tfh_vs_Prdm1KO_Tfh
AP-1(bZIP),28.73,29.26,28.79,25.7,21.74
AT1G76870(Trihelix),11.29,12.57,12.23,11.33,11.23
Atf3(bZIP),27.36,28.3,27.93,23.52,19.03
BATF(bZIP),27.47,28.42,28.03,23.66,18.99
"Brn1(POU,Homeobox)",10.88,6.83,7.44,4.7,4.3
EHF(ETS),36.81,33.13,33.87,35.82,36.54
ELF1(ETS),15.78,13.13,14.71,15.44,16.4
ELF3(ETS),23.54,20.88,21.64,23.7,24.6
ELF5(ETS),20.95,19.6,19.92,21.11,22.17
ERG(ETS),49.17,44.51,44.77,49.5,50.48
ETS(ETS),11.69,9.54,10.84,11.81,12.06
ETS1(ETS),37.58,33.33,34.29,38.86,40.96
ETV1(ETS),43.1,38.6,39.31,43.49,44.23
EWS:ERG-fusion(ETS),29.16,25.59,25.74,29.43,28.58
EWS:FLI1-fusion(ETS),24.01,20.56,21.7,23.59,23.61
Egr1(Zf),18.3,13.81,17.29,12.54,11.74
Elk1(ETS),18.79,14.73,16.75,17.48,17.48
Elk4(ETS),18.43,14.69,16.56,17.06,16.56
Ets1-distal(ETS),18.43,15.73,15.95,18.27,18.31
Etv2(ETS),35.4,31.66,31.87,37.69,38.65
Fli1(ETS),38.93,33.13,34.67,38.89,39.77
Fosl2(bZIP),17.66,17.49,17.64,14.85,11.66
Fra1(bZIP),24.18,24.55,24.44,20.21,15.96
Fra2(bZIP),21.91,21.76,21.89,18.55,14.77
GABPA(ETS),31.72,27.86,28.5,31.81,32.96
Gata1(Zf),12.63,15.97,14.2,15.99,15.61
Gata2(Zf),14.54,17.64,15.92,17.31,17.16
IRF3(IRF),10.77,15.81,13.31,11.88,10.99
IRF4(IRF),11.03,17.09,15.19,16.13,15.17
IRF8(IRF),10.47,15.29,13.66,12.78,11.78
Jun-AP1(bZIP),13.94,13.89,13.95,11.43,9.0
JunB(bZIP),24.41,25.43,25.39,20.9,16.72
KLF3(Zf),10.84,11.3,12.52,13.71,14.77
KLF5(Zf),25.97,26.35,29.55,31.05,32.36
KLF6(Zf),20.82,21.08,23.55,24.42,26.07
Klf4(Zf),8.57,10.42,11.44,13.78,14.49
Klf9(Zf),9.56,8.42,11.03,9.81,10.11
NFAT(RHD),24.93,18.24,19.29,15.54,15.76
NFkB-p65(RHD),12.98,15.73,15.28,11.47,10.19
"Oct4(POU,Homeobox)",14.17,9.94,11.06,7.94,7.01
"Oct6(POU,Homeobox)",12.7,8.9,9.09,6.8,5.65
PRDM1(Zf),15.2,19.88,19.22,14.99,14.09
PU.1(ETS),17.85,17.13,16.71,20.73,20.82
RUNX(Runt),25.69,37.29,34.48,44.87,44.19
RUNX-AML(Runt),25.67,36.61,34.16,43.73,43.15
RUNX1(Runt),34.52,47.98,44.17,54.96,54.66
RUNX2(Runt),28.56,39.16,37.21,48.53,48.13
Sp5(Zf),22.17,18.36,21.93,19.83,20.22
Tbet(T-box),25.44,29.74,29.23,38.62,38.81
Tbr1(T-box),29.82,33.53,32.92,41.69,41.4
Tcf3(HMG),22.49,20.76,20.15,7.12,6.65
Tcf4(HMG),32.62,30.38,29.77,11.16,10.99
"bZIP:IRF(bZIP,IRF)",13.53,19.8,18.91,15.44,13.54
