motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
AP-1(bZIP),37.71,38.83,34.26,32.19,31.35,33.19
BATF(bZIP),36.87,37.95,33.17,30.44,29.3,31.93
Atf3(bZIP),36.75,37.7,33.03,30.68,29.47,31.82
JunB(bZIP),33.84,34.93,30.44,27.99,26.96,29.3
Fra1(bZIP),33.69,34.61,30.0,27.85,26.6,29.09
Fra2(bZIP),30.9,31.66,27.43,25.44,24.33,26.49
Fosl2(bZIP),26.08,26.76,22.95,21.36,20.4,22.18
KLF5(Zf),31.51,31.74,33.38,36.14,35.35,34.41
KLF6(Zf),25.69,26.06,26.97,30.06,28.81,27.97
Sp5(Zf),25.41,25.26,25.02,27.61,26.6,25.84
RUNX1(Runt),37.15,36.89,43.99,42.49,43.38,44.2
RUNX2(Runt),31.41,31.53,37.61,36.58,37.33,37.47
RUNX(Runt),29.27,29.19,35.33,34.48,35.23,35.4
RUNX-AML(Runt),28.49,28.37,33.9,32.76,33.48,33.57
NFAT(RHD),28.35,27.57,23.22,24.14,23.17,22.13
ERG(ETS),46.84,45.92,48.06,51.84,53.52,49.24
ETV1(ETS),42.45,42.01,43.04,47.82,49.36,44.33
Fli1(ETS),37.75,37.49,38.52,43.14,44.56,39.86
ETS1(ETS),36.07,35.42,37.37,41.65,43.22,38.73
EHF(ETS),34.89,34.71,35.49,38.61,40.22,36.46
Etv2(ETS),33.58,32.89,34.98,38.99,40.98,36.22
GABPA(ETS),31.11,30.79,31.66,35.72,37.29,32.78
SPDEF(ETS),27.93,27.68,27.96,30.77,31.81,29.02
EWS:ERG-fusion(ETS),25.77,25.57,26.52,28.86,30.35,27.44
ELF3(ETS),22.47,22.18,23.04,25.28,26.88,23.99
EWS:FLI1-fusion(ETS),21.89,21.63,22.6,25.1,26.36,23.4
