motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive,DKO_Tfh_vs_Naive
EHF(ETS),46.31,45.37,43.24,42.03,43.35,44.4
ELF1(ETS),27.59,27.15,22.96,22.48,24.94,26.51
ELF3(ETS),31.88,30.28,29.46,28.42,29.35,31.24
ELF5(ETS),28.34,27.65,26.3,25.69,26.36,28.09
ERG(ETS),61.63,59.76,56.24,54.4,56.79,58.59
ETS1(ETS),51.17,50.02,45.95,43.84,47.39,48.1
ETV1(ETS),58.01,56.52,51.35,49.89,53.5,55.02
EWS:ERG-fusion(ETS),36.51,34.82,33.59,31.81,33.21,34.62
EWS:FLI1-fusion(ETS),34.39,32.96,30.18,28.74,30.82,32.19
Elk1(ETS),31.3,29.83,26.02,25.44,28.89,29.55
Elk4(ETS),30.99,29.3,25.27,24.56,28.45,29.15
Etv2(ETS),48.04,47.27,42.85,41.0,43.74,45.59
Fli1(ETS),54.66,52.66,47.86,46.5,50.52,51.77
GABPA(ETS),45.3,43.83,39.32,38.24,41.42,43.21
PU.1(ETS),26.27,25.82,22.74,21.79,22.85,24.6
RUNX(Runt),28.43,25.22,24.49,22.98,20.68,20.4
RUNX-AML(Runt),27.77,25.64,24.53,22.91,21.26,20.72
RUNX1(Runt),36.34,33.27,32.43,30.27,28.2,27.93
RUNX2(Runt),30.07,27.93,26.9,25.35,23.47,23.07
SPDEF(ETS),38.32,36.33,34.0,32.7,34.13,35.65
Sp5(Zf),27.81,26.98,26.33,27.96,29.42,29.25
bZIP50(bZIP),26.14,23.04,21.0,21.19,23.58,22.67
