"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905207","GO:1905207","regulation of cardiocyte differentiation","7/281","60/21092",1.4603380646428e-05,0.0496222874365622,0.0435641902652388,"Klf5/Akap6/Bmp7/Prickle1/Foxp1/Sox6/Nr3c1",7
"GO:0031532","GO:0031532","actin cytoskeleton reorganization","8/281","99/21092",5.39445132712453e-05,0.0595294860116072,0.052261876446484,"Auts2/S1pr1/Trpm2/Ntrk3/Sipa1l1/Ptk2b/Rictor/Kit",8
"GO:0042692","GO:0042692","muscle cell differentiation","16/281","383/21092",6.07903187055596e-05,0.0595294860116072,0.052261876446484,"Bhlha15/Olfm2/Klf5/Tmod3/Smyd3/Akap6/Tmod1/Neb/Foxp1/Pmp22/Sox6/Nr3c1/Capn2/Camk2d/Kit/Nln",16
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","7/281","81/21092",0.000103653282316491,0.0595294860116072,0.052261876446484,"Kcnj3/Pawr/Trpm2/Kcnj15/Slc9a9/Slc12a7/Atp1b1",7
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","7/281","81/21092",0.000103653282316491,0.0595294860116072,0.052261876446484,"Kcnj3/Pawr/Trpm2/Kcnj15/Slc9a9/Slc12a7/Atp1b1",7
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","18/281","488/21092",0.000105113865823909,0.0595294860116072,0.052261876446484,"Ccr6/Nucb2/Akap6/Pawr/Cxcr4/S1pr1/Trpm2/Lpar3/Ccr7/Chd7/Ptk2b/Slc30a5/Slc30a9/Ccr4/Camk2d/Atp1b1/Inpp4b/Lpar4",18
"GO:0019722","GO:0019722","calcium-mediated signaling","11/281","211/21092",0.000130520608858159,0.0620403187991416,0.0544661762265008,"Bhlha15/Ccr6/Akap6/3425401B19Rik/Ppp3r1/Cxcr4/Trpm2/Ccr7/Ptk2b/Ccr4/Atp1b1",11
"GO:0098739","GO:0098739","import across plasma membrane","8/281","114/21092",0.000146063140198097,0.0620403187991416,0.0544661762265008,"Kcnj3/Pawr/Slc7a1/Trpm2/Kcnj15/Slc9a9/Slc12a7/Atp1b1",8
"GO:0097581","GO:0097581","lamellipodium organization","7/281","88/21092",0.000174850579406085,0.0660158076468752,0.0579563207060637,"Abi1/Auts2/S1pr1/Nck2/Pmp22/Vcl/Kit",7
"GO:0051146","GO:0051146","striated muscle cell differentiation","13/281","302/21092",0.000221984146622197,0.066808883996825,0.05865257496577,"Bhlha15/Tmod3/Smyd3/Akap6/Tmod1/Neb/Foxp1/Pmp22/Sox6/Nr3c1/Capn2/Camk2d/Nln",13
"GO:1905208","GO:1905208","negative regulation of cardiocyte differentiation","4/281","23/21092",0.000223618530028278,0.066808883996825,0.05865257496577,"Klf5/Prickle1/Foxp1/Sox6",4
"GO:0030032","GO:0030032","lamellipodium assembly","6/281","68/21092",0.000290364447074385,0.066808883996825,0.05865257496577,"Auts2/S1pr1/Nck2/Pmp22/Vcl/Kit",6
"GO:0090257","GO:0090257","regulation of muscle system process","11/281","232/21092",0.000297242207639803,0.066808883996825,0.05865257496577,"Akap6/Pawr/Ctgf/Foxp1/Nr3c1/Gja5/Camk2d/Ghsr/Atp1b1/Kit/Sstr2",11
"GO:0051147","GO:0051147","regulation of muscle cell differentiation","9/281","160/21092",0.000303974585258814,0.066808883996825,0.05865257496577,"Bhlha15/Olfm2/Klf5/Akap6/Foxp1/Sox6/Nr3c1/Kit/Nln",9
"GO:0014706","GO:0014706","striated muscle tissue development","16/281","441/21092",0.000304433327719947,0.066808883996825,0.05865257496577,"Klf5/Akap6/Kcnk2/Bmp7/S1pr1/Neb/Foxp1/Pmp22/Chd7/Sox6/Flnb/Nr3c1/Gja5/Camk2d/Foxn2/Nln",16
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","11/281","236/21092",0.000343815019677711,0.066808883996825,0.05865257496577,"Bmp7/Pawr/Blm/Tespa1/Nck2/Ccr7/Bcl6/Cd83/Myo10/Fam49b/Stat5a",11
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","13/281","317/21092",0.000353902269553517,0.066808883996825,0.05865257496577,"Nt5e/Tmem131l/Bmp7/Pawr/Blm/Tespa1/Sell/Nck2/Ccr7/Bcl6/Cd83/Fam49b/Stat5a",13
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","13/281","317/21092",0.000353902269553517,0.066808883996825,0.05865257496577,"Ccr6/Akap6/Pawr/Cxcr4/S1pr1/Trpm2/Lpar3/Ccr7/Chd7/Ptk2b/Ccr4/Camk2d/Lpar4",13
"GO:0001508","GO:0001508","action potential","8/281","132/21092",0.000397954153093986,0.0702880514864218,0.0617069910822216,"Scn3a/Pawr/Ywhah/Foxp1/Pmp22/Ntrk3/Gja5/Camk2d",8
"GO:0006936","GO:0006936","muscle contraction","12/281","281/21092",0.000413702480791182,0.0702880514864218,0.0617069910822216,"Tmod3/Akap6/Pawr/Tmod1/Cxcr4/Ctgf/Gja5/Camk2d/Ghsr/Atp1b1/Kit/Sstr2",12
"GO:0060537","GO:0060537","muscle tissue development","16/281","462/21092",0.000506159627378631,0.0741512759181507,0.0650985768569868,"Klf5/Akap6/Kcnk2/Bmp7/S1pr1/Neb/Foxp1/Pmp22/Chd7/Sox6/Flnb/Nr3c1/Gja5/Camk2d/Foxn2/Nln",16
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","16/281","463/21092",0.000518110211360609,0.0741512759181507,0.0650985768569868,"Ccr6/Nucb2/Akap6/Pawr/Cxcr4/S1pr1/Trpm2/Lpar3/Ccr7/Chd7/Ptk2b/Ccr4/Camk2d/Atp1b1/Inpp4b/Lpar4",16
"GO:0055119","GO:0055119","relaxation of cardiac muscle","3/281","13/21092",0.000606059832490515,0.0741512759181507,0.0650985768569868,"Akap6/Camk2d/Atp1b1",3
"GO:0048738","GO:0048738","cardiac muscle tissue development","11/281","254/21092",0.000636519504842365,0.0741512759181507,0.0650985768569868,"Akap6/Kcnk2/Bmp7/S1pr1/Neb/Foxp1/Chd7/Sox6/Nr3c1/Gja5/Camk2d",11
"GO:0048588","GO:0048588","developmental cell growth","11/281","255/21092",0.000657519409821863,0.0741512759181507,0.0650985768569868,"Auts2/Akap6/Cxcr4/Lpar3/Foxp1/Ntrk3/Nrp2/Nr3c1/Vcl/Camk2d/Raph1",11
"GO:0003012","GO:0003012","muscle system process","14/281","383/21092",0.000667530667596611,0.0741512759181507,0.0650985768569868,"Tmod3/Akap6/Pawr/Tmod1/Cxcr4/Ctgf/Foxp1/Nr3c1/Gja5/Camk2d/Ghsr/Atp1b1/Kit/Sstr2",14
"GO:0043087","GO:0043087","regulation of GTPase activity","12/281","297/21092",0.000675561672226921,0.0741512759181507,0.0650985768569868,"Rgs10/Rasgrf1/S1pr1/Ccr7/Ntrk3/Sipa1l1/Ptk2b/Bcl6/Rapgef1/Lims1/Rictor/Pkp4",12
"GO:0046330","GO:0046330","positive regulation of JNK cascade","8/281","143/21092",0.000677443212051165,0.0741512759181507,0.0650985768569868,"Sash1/Wnt16/Ctgf/Ccr7/Map3k4/Ercc6/Ptk2b/Rassf2",8
"GO:0042391","GO:0042391","regulation of membrane potential","15/281","430/21092",0.000699863637484131,0.0741512759181507,0.0650985768569868,"Gabrb1/Akap6/Scn3a/Slc26a2/Kcnk2/Pawr/Ywhah/Foxp1/Pmp22/Ntrk3/Ptk2b/Gja5/Pid1/Camk2d/Atp1b1",15
