motif_name,WT_Tfh_vs_WT_Th1,DKO_Th1_vs_WT_Th1,DKO_Th1_vs_Bcl6KO_Th1,DKO_Tfh_vs_WT_Tfh,DKO_Tfh_vs_Prdm1KO_Tfh
Fosl1+M0296(bZIP),34.34,38.51,33.2,42.62,44.91
FEA4(bZIP),25.64,28.31,27.48,24.61,25.17
AP-1(bZIP),21.54,24.51,19.05,29.99,33.96
Jun+M0311(bZIP),19.41,22.07,17.14,26.95,29.36
bZIP50(bZIP),19.38,24.96,22.31,21.88,23.65
Atf3(bZIP),18.7,22.68,17.28,27.82,32.54
BATF(bZIP),18.61,22.07,16.46,27.73,32.67
JunB(bZIP),16.64,18.87,14.97,25.09,29.54
Fra1(bZIP),16.22,19.63,14.83,24.7,29.64
Fra2(bZIP),14.7,17.2,13.06,22.48,26.65
Fos+M2278(bZIP),12.74,15.37,12.11,19.88,23.56
Fosl2(bZIP),12.03,13.85,10.75,18.49,21.91
KLF14(Zf),40.28,36.68,34.97,35.68,34.7
KLF5(Zf),36.86,29.83,33.2,25.61,24.9
KLF6(Zf),30.12,22.83,24.76,20.23,20.16
Egr3+M0414(Zf),24.54,29.07,25.17,32.2,31.25
Sp5(Zf),23.86,22.53,19.86,21.83,21.86
Tbx2+M1626(T-box),46.28,43.23,42.59,29.64,28.9
Tbr1(T-box),40.76,34.25,35.24,26.09,26.0
Tbet(T-box),38.25,31.81,32.24,22.7,22.27
Tbx6(T-box),37.89,31.05,31.16,20.92,20.8
Tbx21(T-box),35.5,28.01,29.12,20.23,19.01
Tbx10+M1628(T-box),25.86,21.16,22.72,13.59,13.39
RUNX1(Runt),50.44,33.33,38.91,26.39,27.01
RUNX2(Runt),43.82,30.14,33.88,22.18,22.32
RUNX(Runt),41.12,24.35,29.93,19.53,20.25
RUNX-AML(Runt),39.25,26.94,30.2,19.92,19.93
NFAT(RHD),16.83,35.92,21.9,30.77,30.88
Nfatc3+M1517(NFAT),29.57,47.95,34.42,46.14,46.48
Nfat5+M1519(NFAT),29.06,41.55,30.07,40.58,41.33
Nfatc2+M1518(NFAT),27.31,44.44,31.84,43.45,44.32
Irf5+M1267(IRF),27.57,22.22,19.73,22.4,24.16
Tcf7l2+M1585(HMG),14.51,14.31,11.84,43.4,43.3
LEF1(HMG),9.96,7.76,6.8,32.6,33.04
Tcf4(HMG),6.58,5.78,5.03,25.91,26.69
Tcf7(HMG),4.87,2.74,2.72,20.05,20.48
ERF+M0714(ETS),75.1,77.63,78.91,72.35,70.78
Elf2+M0708(ETS),61.37,64.84,66.94,57.68,55.27
Etv6+M0705(ETS),59.43,61.19,63.27,53.17,51.77
ERG(ETS),57.18,56.01,60.14,50.56,47.95
ETV1(ETS),52.53,53.73,57.55,45.1,43.26
ETS1(ETS),47.89,45.81,50.75,39.02,37.28
Fli1(ETS),47.34,48.71,52.79,40.62,38.43
ETV4(ETS),47.34,45.81,50.34,37.98,36.17
Etv2(ETS),44.92,43.68,49.39,36.68,34.47
EHF(ETS),42.6,41.86,44.22,37.33,36.45
GABPA(ETS),40.12,40.03,44.63,32.6,31.25
Elf4(ETS),39.44,38.66,41.77,32.25,31.11
EWS:ERG-fusion(ETS),33.92,34.55,36.73,30.56,28.76
SPDEF(ETS),33.22,32.88,34.97,28.73,29.13
EWS:FLI1-fusion(ETS),28.83,29.07,31.02,25.26,24.3
ELF3(ETS),28.64,28.31,28.84,24.26,23.93
ETS+M0698(ETS),28.44,29.22,31.16,22.79,21.72
PU.1(ETS),25.12,24.35,25.99,18.88,18.27
ELF5(ETS),24.86,24.2,24.9,21.31,20.85
Elk1(ETS),24.83,25.42,27.07,20.18,19.28
Elk3+M0692(ETS),23.61,24.05,26.26,18.4,18.13
Elk4(ETS),23.48,25.11,25.71,19.92,19.7
Ets1-distal(ETS),22.8,23.59,25.03,19.01,17.95
ELF1(ETS),22.61,21.46,23.54,16.58,16.06
