motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
AP-1(bZIP),10.91,10.06,11.42,13.78,13.82,11.81
Atf3(bZIP),8.92,8.41,9.75,11.99,11.94,9.93
BATF(bZIP),8.57,7.91,9.36,11.55,11.44,9.45
EHF(ETS),46.31,45.37,44.4,43.24,42.03,43.35
ELF1(ETS),27.59,27.15,26.51,22.96,22.48,24.94
ELF3(ETS),31.88,30.28,31.24,29.46,28.42,29.35
ELF5(ETS),28.34,27.65,28.09,26.3,25.69,26.36
ETS+M0698(ETS),35.32,34.01,32.95,29.21,28.42,32.2
ERG(ETS),61.63,59.76,58.59,56.24,54.4,56.79
ETS1(ETS),51.17,50.02,48.1,45.95,43.84,47.39
ETV1(ETS),58.01,56.52,55.02,51.35,49.89,53.5
ETV4(ETS),52.32,50.79,49.76,45.82,44.78,48.61
EWS:ERG-fusion(ETS),36.51,34.82,34.62,33.59,31.81,33.21
EWS:FLI1-fusion(ETS),34.39,32.96,32.19,30.18,28.74,30.82
Egr3+M0414(Zf),27.9,27.65,30.52,27.93,30.07,31.17
Elf2+M0708(ETS),67.15,66.09,65.94,63.21,62.1,65.0
Elf4(ETS),43.49,42.74,41.99,39.8,38.64,41.23
Elk1(ETS),31.3,29.83,29.55,26.02,25.44,28.89
Elk3+M0692(ETS),31.08,30.0,29.49,25.64,25.09,28.66
Elk4(ETS),30.99,29.3,29.15,25.27,24.56,28.45
Ets1-distal(ETS),24.64,24.48,23.89,22.24,20.97,22.66
Etv2(ETS),48.04,47.27,45.59,42.85,41.0,43.74
Etv6+M0705(ETS),64.68,63.49,62.53,60.35,59.47,61.57
FEA4(bZIP),26.14,24.23,24.58,23.4,23.21,25.53
Fli1(ETS),54.66,52.66,51.77,47.86,46.5,50.52
Fos+M2278(bZIP),4.86,4.36,5.6,7.16,7.11,5.98
Fosl1+M0296(bZIP),32.41,29.62,32.14,32.51,32.31,33.0
Fosl2(bZIP),4.06,3.66,4.65,6.04,6.03,5.03
Fra1(bZIP),6.93,6.47,7.72,9.51,9.65,8.11
Fra2(bZIP),5.96,5.59,6.58,8.33,8.45,6.99
GABPA(ETS),45.3,43.83,43.21,39.32,38.24,41.42
ERF+M0714(ETS),78.45,77.98,77.01,75.49,74.57,76.58
Irf5+M1267(IRF),24.19,23.11,23.55,25.58,25.21,23.83
Jun+M0311(bZIP),17.88,15.83,15.88,17.21,16.63,16.62
JunB(bZIP),6.8,6.54,7.8,9.74,9.85,7.98
KLF14(Zf),43.36,41.68,43.02,39.71,41.27,42.63
KLF5(Zf),33.38,33.31,32.51,30.08,31.48,32.71
KLF6(Zf),27.9,27.12,27.25,24.78,26.12,27.26
LEF1(HMG),17.92,17.59,22.75,28.84,27.93,23.35
NFAT(RHD),13.64,13.37,15.38,16.09,15.95,16.39
Nfat5+M1519(NFAT),25.47,24.73,27.35,28.88,28.6,27.95
Nfatc2+M1518(NFAT),23.66,23.18,27.01,28.14,28.46,28.09
Nfatc3+M1517(NFAT),26.53,25.61,29.73,31.21,31.17,30.94
PU.1(ETS),26.27,25.82,24.6,22.74,21.79,22.85
RUNX(Runt),28.43,25.22,20.4,24.49,22.98,20.68
RUNX-AML(Runt),27.77,25.64,20.72,24.53,22.91,21.26
RUNX1(Runt),36.34,33.27,27.93,32.43,30.27,28.2
RUNX2(Runt),30.07,27.93,23.07,26.9,25.35,23.47
SPDEF(ETS),38.32,36.33,35.65,34.0,32.7,34.13
Sp5(Zf),27.81,26.98,29.25,26.33,27.96,29.42
Tbet(T-box),20.97,20.44,19.42,21.44,20.6,20.8
Tbr1(T-box),25.08,23.95,23.55,26.45,25.25,24.48
Tbx10+M1628(T-box),13.69,12.94,12.66,13.49,12.93,13.22
Tbx2+M1626(T-box),28.39,28.21,26.27,28.82,28.62,27.95
Tbx21(T-box),19.69,18.54,18.1,20.24,19.38,19.01
Tbx6(T-box),21.72,21.77,20.56,22.18,21.68,21.51
Tcf4(HMG),13.07,13.08,17.15,22.8,22.18,17.4
Tcf7(HMG),10.2,9.64,13.19,17.93,17.1,13.05
Tcf7l2+M1585(HMG),27.81,26.98,32.69,39.74,38.41,33.3
bZIP50(bZIP),26.14,23.04,22.67,21.0,21.19,23.58
