AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_type	genotype	source_name	time_point	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	background_strain	tissue
80	SAMN07967545	SRX3353601	1494	595	SRR6246592	SRS2652789	GSM2837876	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10neg,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967543	SRX3353603	1386	575	SRR6246594	SRS2652790	GSM2837878	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10pos,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967542	SRX3353604	1805	725	SRR6246595	SRS2652791	GSM2837879	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10pos,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967541	SRX3353605	1877	1289	SRR6246596	SRS2652792	GSM2837880	CD4+ T cell	wildtype	Naive,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967540	SRX3353606	1994	825	SRR6246597	SRS2652793	GSM2837881	CD4+ T cell	wildtype	Naive,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967539	SRX3353607	1245	519	SRR6246598	SRS2652794	GSM2837882	CD4+ T cell	wildtype	Naive,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967538	SRX3353608	806	332	SRR6246599	SRS2652795	GSM2837883	CD4+ T cell	wildtype	Naive,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967596	SRX3353599	1204	497	SRR6246590	SRS2652787	GSM2837874	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10neg,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967546	SRX3353600	1258	507	SRR6246591	SRS2652788	GSM2837875	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10neg,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967537	SRX3353609	1331	911	SRR6246600	SRS2652796	GSM2837884	CD4+ T cell	wildtype	Naive,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967537	SRX3353609	1654	1030	SRR6246601	SRS2652796	GSM2837884	CD4+ T cell	wildtype	Naive,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967536	SRX3353610	1130	461	SRR6246602	SRS2652797	GSM2837885	CD4+ T cell	wildtype	Naive,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967535	SRX3353611	828	339	SRR6246603	SRS2652798	GSM2837886	CD4+ T cell	wildtype	Naive,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
