motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
AP-1(bZIP),5.520000000000003,6.640000000000001,2.0700000000000003,-0.8399999999999963,1.0
Atf3(bZIP),6.07,7.020000000000003,2.3500000000000014,-1.2100000000000009,1.1400000000000006
BATF(bZIP),6.429999999999996,7.510000000000002,2.7300000000000004,-1.1400000000000006,1.4899999999999984
EHF(ETS),-3.719999999999999,-3.8999999999999986,-3.1199999999999974,1.6099999999999994,-2.1499999999999986
ELF3(ETS),-2.8100000000000023,-3.1000000000000014,-2.240000000000002,1.5999999999999979,-1.2900000000000027
ERG(ETS),-5.0,-5.920000000000002,-3.780000000000001,1.6799999999999997,-2.6000000000000014
ETS1(ETS),-5.579999999999998,-6.229999999999997,-4.280000000000001,1.5700000000000003,-2.9200000000000017
ETV1(ETS),-5.369999999999997,-5.810000000000002,-4.780000000000001,1.5399999999999991,-3.490000000000002
EWS:ERG-fusion(ETS),-3.09,-3.289999999999999,-2.34,1.490000000000002,-1.4199999999999982
EWS:FLI1-fusion(ETS),-3.210000000000001,-3.4700000000000024,-2.5,1.259999999999998,-1.7000000000000028
Etv2(ETS),-5.410000000000004,-6.100000000000001,-4.010000000000005,1.9899999999999949,-2.770000000000003
Fli1(ETS),-5.390000000000001,-5.649999999999999,-4.619999999999997,1.4200000000000017,-3.280000000000001
Fosl2(bZIP),4.719999999999999,5.400000000000002,1.5899999999999999,-0.9600000000000009,0.8200000000000003
Fra1(bZIP),5.839999999999996,6.759999999999998,2.1499999999999986,-1.25,1.2399999999999984
Fra2(bZIP),5.459999999999997,6.219999999999999,1.9899999999999984,-1.110000000000003,1.0499999999999972
GABPA(ETS),-4.609999999999999,-4.93,-4.059999999999999,1.5700000000000003,-2.9399999999999977
JunB(bZIP),5.850000000000005,6.940000000000001,2.450000000000003,-1.0299999999999976,1.3100000000000023
KLF5(Zf),-4.629999999999999,-4.400000000000002,-2.759999999999998,-0.7899999999999991,-1.730000000000004
KLF6(Zf),-4.369999999999997,-4.0,-3.09,-1.25,-2.09
NFAT(RHD),4.210000000000001,3.4299999999999997,-0.9200000000000017,-0.9699999999999989,-2.0100000000000016
RUNX(Runt),-5.209999999999997,-5.289999999999996,0.8500000000000014,0.75,0.9200000000000017
RUNX-AML(Runt),-4.27,-4.389999999999997,1.1400000000000006,0.7199999999999989,0.8100000000000023
RUNX1(Runt),-5.340000000000003,-5.600000000000001,1.5,0.8900000000000006,1.7100000000000009
RUNX2(Runt),-5.169999999999998,-5.049999999999997,1.0300000000000011,0.75,0.8900000000000006
SPDEF(ETS),-2.84,-3.09,-2.8099999999999987,1.0399999999999991,-1.75
Sp5(Zf),-2.1999999999999993,-2.349999999999998,-2.59,-1.009999999999998,-1.7699999999999996
