"X","Condition1","Condition2"
"Total peak number","DKO_Th1_vs_WT_Th1: 2505","DKO_Tfh_vs_Prdm1KO_Tfh: 2512"
"","",""
"","",""
"RUNX1_RUNT","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1202","1373"
"Motif not found","1303","1310"
"X-squared","5.14668202969307",""
"p-value","0.0232908363058876",""
"","",""
"RUNX2_RUNT","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","981","1209"
"Motif not found","1524","1531"
"X-squared","13.04728947939",""
"p-value","0.00030372364858639",""
"","",""
"TBR1_TBOX","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","840","1040"
"Motif not found","1665","1672"
"X-squared","12.8904936473106",""
"p-value","0.000330255311900088",""
"","",""
"TBET_TBOX","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","745","975"
"Motif not found","1760","1767"
"X-squared","19.8426080088261",""
"p-value","8.40872681486797e-06",""
"","",""
"ERG_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1115","1268"
"Motif not found","1390","1397"
"X-squared","4.77123138315993",""
"p-value","0.0289391199877762",""
"","",""
"ETV1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","967","1111"
"Motif not found","1538","1545"
"X-squared","5.44819275129289",""
"p-value","0.019588580649755",""
"","",""
"FLI1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","830","999"
"Motif not found","1675","1682"
"X-squared","9.48837195338865",""
"p-value","0.00206778226208118",""
"","",""
"ETS1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","835","1029"
"Motif not found","1670","1677"
"X-squared","12.2677203895769",""
"p-value","0.000460860896530601",""
"","",""
"EHF_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","830","918"
"Motif not found","1675","1682"
"X-squared","2.58217575562318",""
"p-value","0.108073019656659",""
"","",""
"ETV2_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","793","971"
"Motif not found","1712","1719"
"X-squared","11.2050017673868",""
"p-value","0.00081577148869847",""
"","",""
"GABPA_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","698","828"
"Motif not found","1807","1814"
"X-squared","7.28122343249756",""
"p-value","0.00696790635901323",""
"","",""
"EWS:ERGFUSION_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","641","718"
"Motif not found","1864","1871"
"X-squared","2.88294408501317",""
"p-value","0.0895222083101745",""
"","",""
"KLF5_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","660","813"
"Motif not found","1845","1852"
