"X","Condition1","Condition2"
"Total peak number","WT_Tfh_vs_WT_Th1: 4678","DKO_Tfh_vs_Prdm1KO_Tfh: 2512"
"","",""
"","",""
"RUNX1_RUNT","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1615","1373"
"Motif not found","3063","897"
"X-squared","419.205631611156",""
"p-value","3.6337105054285e-93",""
"","",""
"RUNX2_RUNT","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1336","1209"
"Motif not found","3342","1176"
"X-squared","334.754163539054",""
"p-value","8.85821575180762e-75",""
"","",""
"TBR1_TBOX","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1395","1040"
"Motif not found","3283","1117"
"X-squared","217.010554674927",""
"p-value","4.05954832432141e-49",""
"","",""
"TBET_TBOX","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1190","975"
"Motif not found","3488","1322"
"X-squared","207.411477121832",""
"p-value","5.04225087008729e-47",""
"","",""
"ERG_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","2300","1268"
"Motif not found","2378","212"
"X-squared","613.460916177848",""
"p-value","1.97695212764034e-135",""
"","",""
"ETV1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","2016","1111"
"Motif not found","2662","496"
"X-squared","323.383341524675",""
"p-value","2.65428842793873e-72",""
"","",""
"FLI1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1821","999"
"Motif not found","2857","691"
"X-squared","204.203421371642",""
"p-value","2.52695592077932e-46",""
"","",""
"ETS1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1758","1029"
"Motif not found","2920","754"
"X-squared","212.47964472177",""
"p-value","3.95268640257616e-48",""
"","",""
"EHF_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1722","918"
"Motif not found","2956","790"
"X-squared","147.298792318476",""
"p-value","6.75171608084408e-34",""
"","",""
"ETV2_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1656","971"
"Motif not found","3022","856"
"X-squared","171.154250624112",""
"p-value","4.14067848286041e-39",""
"","",""
"GABPA_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1484","828"
"Motif not found","3194","1028"
"X-squared","95.988170871643",""
"p-value","1.15571958098766e-22",""
"","",""
"EWS:ERGFUSION_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1364","718"
"Motif not found","3314","1148"
"X-squared","52.9860318139902",""
"p-value","3.35928791283022e-13",""
"","",""
"KLF5_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1215","813"
"Motif not found","3463","1297"
"X-squared","108.863089902941",""
"p-value","1.73891546406638e-25",""
"","",""
"KLF6_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","974","655"
"Motif not found","3704","1538"
"X-squared","67.0623676247844",""
"p-value","2.63052157024082e-16",""
"","",""
"GATA3_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1463","789"
