"X","Condition1","Condition2"
"Total peak number","DKO_Th1_vs_WT_Th1: 657","DKO_Tfh_vs_Prdm1KO_Tfh: 2173"
"","",""
"","",""
"RUNX1_RUNT","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","219","587"
"Motif not found","438","1954"
"X-squared","28.4525189975716",""
"p-value","9.60247480288341e-08",""
"","",""
"RUNX2_RUNT","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","198","485"
"Motif not found","459","1975"
"X-squared","32.3061654545393",""
"p-value","1.31694804269588e-08",""
"","",""
"TBR1_TBOX","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","225","565"
"Motif not found","432","1948"
"X-squared","37.8937643659453",""
"p-value","7.47036292844808e-10",""
"","",""
"TBET_TBOX","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","209","484"
"Motif not found","448","1964"
"X-squared","42.6177560531436",""
"p-value","6.65524985781718e-11",""
"","",""
"ERG_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","368","1042"
"Motif not found","289","1805"
"X-squared","82.84600846937",""
"p-value","8.87011843706756e-20",""
"","",""
"ETV1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","353","940"
"Motif not found","304","1820"
"X-squared","86.4675987468555",""
"p-value","1.42045600849802e-20",""
"","",""
"ETS1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","301","810"
"Motif not found","356","1872"
"X-squared","57.2393986628846",""
"p-value","3.85863423216712e-14",""
"","",""
"FLI1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","320","835"
"Motif not found","337","1853"
"X-squared","71.9113629813398",""
"p-value","2.25084070487587e-17",""
"","",""
"ETV2_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","287","749"
"Motif not found","370","1886"
"X-squared","56.0652102877388",""
"p-value","7.01067331195312e-14",""
"","",""
"EHF_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","275","792"
"Motif not found","382","1898"
"X-squared","36.9050089251509",""
"p-value","1.24026905449981e-09",""
"","",""
"GABPA_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","263","679"
"Motif not found","394","1910"
"X-squared","47.8083812204558",""
"p-value","4.69978604969278e-12",""
"","",""
"EWS:ERGFUSION_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","227","625"
"Motif not found","430","1946"
"X-squared","27.7261896347054",""
"p-value","1.3975778437011e-07",""
"","",""
"SPDEF_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","216","633"
"Motif not found","441","1957"
"X-squared","18.8817546450138",""
"p-value","1.39076510436494e-05",""
"","",""
"EWS:FLI1FUSION_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","191","528"
"Motif not found","466","1982"
"X-squared","18.7046816599351",""
"p-value","1.52607341193317e-05",""
"","",""
"ELF3_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","186","520"
"Motif not found","471","1987"
"X-squared","16.7689228582901",""
"p-value","4.22191113846597e-05",""
"","",""
"PU.1_ETS","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","160","397"
"Motif not found","497","2013"
"X-squared","21.0420576650977",""
"p-value","4.49311454404531e-06",""
"","",""
"ELK1_ETS","",""
