"X","Condition1","Condition2"
"Total peak number","WT_Tfh_vs_WT_Th1: 3101","DKO_Tfh_vs_Prdm1KO_Tfh: 2173"
"","",""
"","",""
"RUNX1_RUNT","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1564","587"
"Motif not found","1537","609"
"X-squared","0.580906066373752",""
"p-value","0.445957390848422",""
"","",""
"RUNX2_RUNT","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1359","485"
"Motif not found","1742","814"
"X-squared","15.5647636092303",""
"p-value","7.97266292680021e-05",""
"","",""
"TBR1_TBOX","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1264","565"
"Motif not found","1837","909"
"X-squared","2.35832505857633",""
"p-value","0.124615924199515",""
"","",""
"TBET_TBOX","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1186","484"
"Motif not found","1915","987"
"X-squared","12.0554092492119",""
"p-value","0.000516423097308474",""
"","",""
"ERG_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1773","1042"
"Motif not found","1328","400"
"X-squared","94.4029594368398",""
"p-value","2.57407115491243e-22",""
"","",""
"ETV1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1629","940"
"Motif not found","1472","544"
"X-squared","47.1770177345633",""
"p-value","6.48564633652361e-12",""
"","",""
"ETS1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1485","810"
"Motif not found","1616","688"
"X-squared","15.2059988589463",""
"p-value","9.63967127833463e-05",""
"","",""
"FLI1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1468","835"
"Motif not found","1633","705"
"X-squared","19.2163165115106",""
"p-value","1.16711553472356e-05",""
"","",""
"ETV2_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1393","749"
"Motif not found","1708","780"
"X-squared","6.6451464933071",""
"p-value","0.00994263025560455",""
"","",""
"EHF_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1321","792"
"Motif not found","1780","852"
"X-squared","13.2991395015201",""
"p-value","0.000265527953476837",""
"","",""
"GABPA_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1244","679"
"Motif not found","1857","929"
"X-squared","1.86543049368201",""
"p-value","0.171999349596893",""
"","",""
"EWS:ERGFUSION_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1052","625"
"Motif not found","2049","1121"
"X-squared","1.64744415645832",""
"p-value","0.199307152327185",""
"","",""
"SPDEF_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1030","633"
"Motif not found","2071","1143"
"X-squared","2.85255197350622",""
"p-value","0.0912290195324586",""
"","",""
"EWS:FLI1FUSION_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","894","528"
"Motif not found","2207","1279"
"X-squared","0.0666096547655877",""
"p-value","0.796338635184201",""
"","",""
"ELF3_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","888","520"
"Motif not found","2213","1285"
"X-squared","0.00929484647602384",""
"p-value","0.923195121711326",""
"","",""
"PU.1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","779","397"
"Motif not found","2322","1394"
"X-squared","5.26666862558014",""
"p-value","0.021737574296477",""
"","",""
"ELK1_ETS","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","770","419"
"Motif not found","2331","1403"
"X-squared","2.00833832916911",""
"p-value","0.156436580199293",""
"","",""
"KLF5_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1143","541"
"Motif not found","1958","1030"
"X-squared","2.55028506570119",""
"p-value","0.11027435692547",""
"","",""
"LEF1_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","309","718"
"Motif not found","2792","1864"
"X-squared","301.770589359607",""
"p-value","1.35526213270925e-67",""
"","",""
"TCF3_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","106","404"
"Motif not found","2995","2067"
"X-squared","275.004021884647",""
"p-value","9.21172176270006e-62",""
"","",""
"TCF4_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","204","580"
"Motif not found","2897","1969"
"X-squared","304.948120104221",""
"p-value","2.75277996958469e-68",""
"","",""
"TCF7_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","151","445"
"Motif not found","2950","2022"
"X-squared","247.899311676564",""
"p-value","7.45446128563409e-56",""
"","",""
"KLF6_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","934","438"
"Motif not found","2167","1239"
"X-squared","8.31846398618762",""
"p-value","0.00392440915052104",""
"","",""
"GATA3_ZF","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","894","609"
"Motif not found","2207","1279"
"X-squared","6.3852611027704",""
"p-value","0.011507183261056",""
"","",""
"AP1_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","668","738"
"Motif not found","2433","1505"
"X-squared","86.064059184635",""
"p-value","1.74200254960915e-20",""
"","",""
"ATF3_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","580","707"
"Motif not found","2521","1593"
"X-squared","104.72524923825",""
"p-value","1.40301743342559e-24",""
"","",""
"BATF_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","577","710"
"Motif not found","2524","1596"
"X-squared","107.54833110355",""
"p-value","3.37572102525736e-25",""
"","",""
"JUNB_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","516","642"
"Motif not found","2585","1657"
"X-squared","99.1445239079909",""
"p-value","2.34731177816654e-23",""
"","",""
"FRA1_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","503","644"
"Motif not found","2598","1670"
"X-squared","106.295392398549",""
"p-value","6.35239997073799e-25",""
"","",""
"FRA2_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","456","579"
"Motif not found","2645","1717"
"X-squared","93.3905119179236",""
"p-value","4.29303819120805e-22",""
"","",""
"NFAT:AP1_RHD,BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","110","311"
"Motif not found","2991","2063"
"X-squared","171.530805088405",""
"p-value","3.42635172614301e-39",""
"","",""
"ASCL2+M5987","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","278","238"
"Motif not found","2823","1895"
"X-squared","6.59538379575823",""
"p-value","0.0102243513274109",""
"","",""
"TCF7L2+M1585","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","450","941"
"Motif not found","2651","1723"
"X-squared","337.888512152854",""
"p-value","1.83958237550807e-75",""
