"X","Condition1","Condition2"
"Total peak number","DKO_Th1_vs_Bcl6KO_Th1: 3147","DKO_Tfh_vs_Prdm1KO_Tfh: 2512"
"","",""
"","",""
"RUNX1_RUNT","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1390","1373"
"Motif not found","1757","1122"
"X-squared","65.2589699888274",""
"p-value","6.56745736285169e-16",""
"","",""
"RUNX2_RUNT","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1171","1209"
"Motif not found","1976","1341"
"X-squared","59.8522325194971",""
"p-value","1.02253295903768e-14",""
"","",""
"TBR1_TBOX","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1036","1040"
"Motif not found","2111","1476"
"X-squared","42.2791560342833",""
"p-value","7.9131460799389e-11",""
"","",""
"TBET_TBOX","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","920","975"
"Motif not found","2227","1592"
"X-squared","48.4163261662701",""
"p-value","3.44686571483949e-12",""
"","",""
"ERG_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1409","1268"
"Motif not found","1738","1103"
"X-squared","40.6916603884292",""
"p-value","1.78246268576691e-10",""
"","",""
"ETV1_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1237","1111"
"Motif not found","1910","1275"
"X-squared","28.9530486708508",""
"p-value","7.4154013441913e-08",""
"","",""
"FLI1_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1091","999"
"Motif not found","2056","1421"
"X-squared","25.233217126516",""
"p-value","5.07996924392471e-07",""
"","",""
"ETS1_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1079","1029"
"Motif not found","2068","1433"
"X-squared","32.880302208372",""
"p-value","9.80113448988963e-09",""
"","",""
"EHF_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1066","918"
"Motif not found","2081","1446"
"X-squared","14.1937217159317",""
"p-value","0.000164919858898753",""
"","",""
"ETV2_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1003","971"
"Motif not found","2144","1509"
"X-squared","31.9721281902314",""
"p-value","1.56400567840295e-08",""
"","",""
"GABPA_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","897","828"
"Motif not found","2250","1615"
"X-squared","18.471331918437",""
"p-value","1.72479339237849e-05",""
"","",""
"EWS:ERGFUSION_ETS","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","810","718"
"Motif not found","2337","1702"
"X-squared","10.4170409935689",""
"p-value","0.00124857788248896",""
"","",""
"KLF5_ZF","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","930","813"
"Motif not found","2217","1582"
"X-squared","11.9750525387825",""
"p-value","0.000539175465008397",""
"","",""
"KLF6_ZF","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","741","655"
"Motif not found","2406","1771"
"X-squared","8.51677194072802",""
"p-value","0.00351888122168273",""
"","",""
"GATA3_ZF","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","998","789"
"Motif not found","2149","1514"
"X-squared","3.79959955452894",""
"p-value","0.0512648419142201",""
"","",""
"AP1_BZIP","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","906","546"
"Motif not found","2241","1606"
"X-squared","7.3329723142971",""
"p-value","0.00677010077741439",""
"","",""
"BATF_BZIP","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","882","477"
"Motif not found","2265","1630"
"X-squared","18.8255605540946",""
"p-value","1.43234650360764e-05",""
"","",""
"ATF3_BZIP","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","879","478"
"Motif not found","2268","1633"
"X-squared","18.176863070441",""
"p-value","2.01309656627019e-05",""
"","",""
"JUNB_BZIP","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","799","420"
"Motif not found","2348","1713"
"X-squared","22.9307623261325",""
"p-value","1.67942544551832e-06",""
"","",""
"ASCL2+M5987","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","289","190"
"Motif not found","2858","2223"
"X-squared","2.81004175928599",""
"p-value","0.0936759372299283",""
"","",""
"LEF1_HMG","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1080","376"
"Motif not found","2067","1432"
"X-squared","100.5332883388",""
"p-value","1.16423733174735e-23",""
"","",""
"TCF3_HMG","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","634","167"
"Motif not found","2513","1878"
"X-squared","135.42736601392",""
"p-value","2.66230783869743e-31",""
"","",""
"TCF4_HMG","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","937","276"
"Motif not found","2210","1575"
"X-squared","139.285524881065",""
"p-value","3.8146587967548e-32",""
"","",""
"TCF7_HMG","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","776","233"
"Motif not found","2371","1736"
"X-squared","125.017443343882",""
"p-value","5.04492673477812e-29",""
"","",""
"TCF7L2+M1585","",""
"","DKO_Th1_vs_Bcl6KO_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1453","550"
"Motif not found","1694","1059"
"X-squared","62.2742600853938",""
"p-value","2.98805184289983e-15",""
