"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","GO:0003779","actin binding","28/495","415/20759",8.87106325848635e-07,0.000624522853397439,0.000566814252410654,"Sntb2/Dstn/Lsp1/Eps8l3/S100a4/Hip1/Synpo2/Tmod1/Tns4/Cdk5r1/Cxcr4/Plec/Tlnrd1/Myo9b/Pls1/Lcp1/Akap5/Sntb1/Mical2/Itgb1/Gas7/Coro2b/Myo10/Diaph3/Sipa1l1/Myo3b/Myo1e/Ccr5",28
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","19/495","266/20759",2.32059637814615e-05,0.00816849925107445,0.00741369474491954,"Nfkb1/Jdp2/Arid5b/Jarid2/Tbx15/Mnt/Pcbp3/Bhlhe40/Foxp4/Tgif1/Zfpm1/Kdm4a/Irf2bp2/Sox6/E2f8/Irf8/Foxq1/Nfatc2/Nfatc1",19
"GO:0000982","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","27/495","492/20759",5.7585513928146e-05,0.0135134006018049,0.0122647041945209,"Creb5/Jdp2/Tbx15/Onecut1/Bhlhe40/Cebpa/Jun/Hivep2/Foxp4/Arnt2/Tgif1/Tcf12/Zfpm1/Kdm4a/Rbpj/Nfia/Irf2bp2/Tcf4/Sox6/Batf/E2f8/Mef2b/Irf8/Foxq1/Nfatc2/Nfatc1/Ets1",27
"GO:0051019","GO:0051019","mitogen-activated protein kinase binding","6/495","36/20759",0.000189138079127474,0.0270958723422404,0.0245920970570274,"Ptprj/Mapkapk3/Mical2/Gch1/Dusp10/Nfatc1",6
"GO:0045125","GO:0045125","bioactive lipid receptor activity","4/495","13/20759",0.000192442275157958,0.0270958723422404,0.0245920970570274,"Lpar3/S1pr1/S1pr3/Lpar4",4
"GO:0008047","GO:0008047","enzyme activator activity","23/495","449/20759",0.000530932619444743,0.0575862490528659,0.0522650316613182,"Ncaph/Ppp2r5c/Rgs3/Rabgap1l/Racgap1/Jun/Dnajb2/Cdk5r1/Ccl5/Agfg1/Casp3/Bcas3/Myo9b/Tagap/Fam20a/Rasgrp1/Thy1/Noxa1/Bcr/Ercc6/Dcp1b/Tbc1d4/Sipa1l1",23
"GO:0001078","GO:0001078","proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific","13/495","187/20759",0.000572590544559746,0.0575862490528659,0.0522650316613182,"Jdp2/Tbx15/Bhlhe40/Foxp4/Tgif1/Zfpm1/Kdm4a/Irf2bp2/Sox6/E2f8/Irf8/Foxq1/Nfatc2",13
"GO:0032813","GO:0032813","tumor necrosis factor receptor superfamily binding","6/495","46/20759",0.000743887873622328,0.0654621328787649,0.0594131499064149,"Tnfsf10/Nucb2/Tnfsf13b/Traf5/Casp3/Cd40lg",6
"GO:0019956","GO:0019956","chemokine binding","5/495","33/20759",0.00103265062640262,0.0807762267763827,0.073312155582034,"Cxcr3/Ccr6/Cxcr4/Itgb1/Ccr5",5
"GO:0005164","GO:0005164","tumor necrosis factor receptor binding","5/495","34/20759",0.00118725091657774,0.0835824645270726,0.0758590848802827,"Tnfsf10/Nucb2/Tnfsf13b/Traf5/Cd40lg",5
