Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[strain],Characteristics[age],Unit[time unit],Characteristics[genotype],Characteristics[disease],Characteristics[organism part],Characteristics[cell type],Characteristics[stimulus],Characteristics[individual],Material Type,Protocol REF,Protocol REF,Protocol REF,Protocol REF,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Protocol REF,Performer,Assay Name,Comment[technical replicate group],Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Factor Value[organism],Factor Value[stimulus],Factor Value[time],Unit[time unit],Term Source REF,Term Accession Number
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_1_1,group 1,sequencing assay,ERX2271389,19480_1_1_r1.fq.gz,19480_1_1_r1.fq.gz,ERR2217059,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/009/ERR2217059/ERR2217059_1.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_1_1,group 1,sequencing assay,ERX2271389,19480_1_1_r2.fq.gz,19480_1_1_r2.fq.gz,ERR2217059,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/009/ERR2217059/ERR2217059_2.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_2_1,group 1,sequencing assay,ERX2271389,19480_2_1_r1.fq.gz,19480_2_1_r1.fq.gz,ERR2217060,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/000/ERR2217060/ERR2217060_1.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_2_1,group 1,sequencing assay,ERX2271389,19480_2_1_r2.fq.gz,19480_2_1_r2.fq.gz,ERR2217060,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/000/ERR2217060/ERR2217060_2.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_3_1,group 1,sequencing assay,ERX2271389,19480_3_1_r1.fq.gz,19480_3_1_r1.fq.gz,ERR2217061,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/001/ERR2217061/ERR2217061_1.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_3_1,group 1,sequencing assay,ERX2271389,19480_3_1_r2.fq.gz,19480_3_1_r2.fq.gz,ERR2217061,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/001/ERR2217061/ERR2217061_2.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_4_1,group 1,sequencing assay,ERX2271389,19480_4_1_r1.fq.gz,19480_4_1_r1.fq.gz,ERR2217062,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/002/ERR2217062/ERR2217062_1.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19480_4_1,group 1,sequencing assay,ERX2271389,19480_4_1_r2.fq.gz,19480_4_1_r2.fq.gz,ERR2217062,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/002/ERR2217062/ERR2217062_2.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19506_6_1,group 1,sequencing assay,ERX2271389,19506_6_1_r1.fq.gz,19506_6_1_r1.fq.gz,ERR2217063,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/003/ERR2217063/ERR2217063_1.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2041540,SAMEA104423598,Homo sapiens,not applicable,0,day,not applicable,normal,umbilical cord blood,naive T cell,none,donor pool 1,cell,P-MTAB-70152,P-MTAB-70157,P-MTAB-70153,P-MTAB-70154,Human_Naive_1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,300,50,P-MTAB-70155,SC,19506_6_1,group 1,sequencing assay,ERX2271389,19506_6_1_r2.fq.gz,19506_6_1_r2.fq.gz,ERR2217063,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/003/ERR2217063/ERR2217063_2.fastq.gz,250,126,Homo sapiens,none,0,hour,EFO,UO_0000032
