Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[strain],Characteristics[age],Unit[time unit],Characteristics[genotype],Characteristics[organism part],Characteristics[cell type],Characteristics[individual],Material Type,Protocol REF,Protocol REF,Protocol REF,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Protocol REF,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Factor Value[organism],Factor Value[time],Unit[time unit],Term Source REF,Term Accession Number
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_2_1,sequencing assay,ERX2274045,18246_2_1_r1.fq.gz,18246_2_1_r1.fq.gz,ERR2220574,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/004/ERR2220574/ERR2220574_1.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_2_1,sequencing assay,ERX2274045,18246_2_1_r2.fq.gz,18246_2_1_r2.fq.gz,ERR2220574,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/004/ERR2220574/ERR2220574_2.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_3_1,sequencing assay,ERX2274045,18246_3_1_r1.fq.gz,18246_3_1_r1.fq.gz,ERR2220575,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2220575/ERR2220575_1.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_3_1,sequencing assay,ERX2274045,18246_3_1_r2.fq.gz,18246_3_1_r2.fq.gz,ERR2220575,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2220575/ERR2220575_2.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_4_1,sequencing assay,ERX2274045,18246_4_1_r1.fq.gz,18246_4_1_r1.fq.gz,ERR2220576,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2220576/ERR2220576_1.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_4_1,sequencing assay,ERX2274045,18246_4_1_r2.fq.gz,18246_4_1_r2.fq.gz,ERR2220576,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2220576/ERR2220576_2.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_5_1,sequencing assay,ERX2274045,18246_5_1_r1.fq.gz,18246_5_1_r1.fq.gz,ERR2220577,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2220577/ERR2220577_1.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_1,ERS2047433,SAMEA104429491,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,1,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_1,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_5_1,sequencing assay,ERX2274045,18246_5_1_r2.fq.gz,18246_5_1_r2.fq.gz,ERR2220577,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2220577/ERR2220577_2.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_2,ERS2047434,SAMEA104429492,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,2,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_2,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_2_2,sequencing assay,ERX2274046,18246_2_2_r1.fq.gz,18246_2_2_r1.fq.gz,ERR2220578,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2220578/ERR2220578_1.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
Human_Naive_2,ERS2047434,SAMEA104429492,Homo sapiens,not applicable,0,day,not applicable,umbilical cord blood,naive T cell,2,cell,P-MTAB-70274,P-MTAB-70275,P-MTAB-70276,Human_Naive_2,PAIRED,size fractionation,GENOMIC,not applicable,ATAC-seq,500,100,P-MTAB-70277,SC,18246_2_2,sequencing assay,ERX2274046,18246_2_2_r2.fq.gz,18246_2_2_r2.fq.gz,ERR2220578,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2220578/ERR2220578_2.fastq.gz,150,76,Homo sapiens,0,hour,EFO,UO_0000032
