motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
bZIP50(bZIP),26.14,23.04,22.67,21.0,21.19,23.58
HY5(bZIP),20.35,18.11,19.08,17.47,17.58,18.78
Atf1(bZIP),19.03,16.25,16.2,14.79,14.71,16.71
TGA10(bZIP),17.44,14.7,14.22,12.91,12.83,14.85
TGA6(bZIP),17.4,14.56,14.75,12.79,12.99,14.94
TGA2(bZIP),17.31,14.63,14.09,12.36,12.49,14.3
Atf7(bZIP),14.61,12.8,12.37,11.27,10.97,12.55
TGA1(bZIP),12.27,10.83,10.65,9.37,9.39,10.57
Atf2(bZIP),11.57,9.78,9.28,8.03,7.72,9.15
c-Jun-CRE(bZIP),10.02,8.55,8.43,7.26,7.06,8.25
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished),11.39,11.12,12.9,11.92,12.24,12.78
CLOCK(bHLH),14.22,13.72,15.09,14.87,14.34,15.24
USF1(bHLH),11.57,11.19,12.58,12.59,12.21,12.92
Sp5(Zf),27.81,26.98,29.25,26.33,27.96,29.42
KLF3(Zf),15.54,15.23,15.12,13.2,14.23,15.15
Klf9(Zf),13.42,12.77,12.42,11.78,12.65,13.01
Klf4(Zf),11.3,11.57,10.2,9.88,10.31,10.99
RUNX1(Runt),36.34,33.27,27.93,32.43,30.27,28.2
RUNX2(Runt),30.07,27.93,23.07,26.9,25.35,23.47
RUNX(Runt),28.43,25.22,20.4,24.49,22.98,20.68
RUNX-AML(Runt),27.77,25.64,20.72,24.53,22.91,21.26
NAP(NAC),18.28,16.92,17.65,16.44,16.27,17.95
ANAC047(NAC),14.0,13.3,13.79,12.89,13.01,14.39
Tcf4(HMG),13.07,13.08,17.15,22.8,22.18,17.4
Tcf3(HMG),8.3,8.05,11.42,15.27,14.48,11.54
"ETS:RUNX(ETS,Runt)",11.17,11.12,7.61,6.44,5.87,6.48
ERG(ETS),61.63,59.76,58.59,56.24,54.4,56.79
ETV1(ETS),58.01,56.52,55.02,51.35,49.89,53.5
Fli1(ETS),54.66,52.66,51.77,47.86,46.5,50.52
ETS1(ETS),51.17,50.02,48.1,45.95,43.84,47.39
Etv2(ETS),48.04,47.27,45.59,42.85,41.0,43.74
EHF(ETS),46.31,45.37,44.4,43.24,42.03,43.35
GABPA(ETS),45.3,43.83,43.21,39.32,38.24,41.42
SPDEF(ETS),38.32,36.33,35.65,34.0,32.7,34.13
EWS:ERG-fusion(ETS),36.51,34.82,34.62,33.59,31.81,33.21
EWS:FLI1-fusion(ETS),34.39,32.96,32.19,30.18,28.74,30.82
ELF3(ETS),31.88,30.28,31.24,29.46,28.42,29.35
Elk1(ETS),31.3,29.83,29.55,26.02,25.44,28.89
Elk4(ETS),30.99,29.3,29.15,25.27,24.56,28.45
ELF5(ETS),28.34,27.65,28.09,26.3,25.69,26.36
ELF1(ETS),27.59,27.15,26.51,22.96,22.48,24.94
PU.1(ETS),26.27,25.82,24.6,22.74,21.79,22.85
Ets1-distal(ETS),24.64,24.48,23.89,22.24,20.97,22.66
ETS(ETS),22.16,21.35,20.53,17.62,16.94,19.01
SpiB(ETS),10.73,9.67,10.28,9.12,8.78,9.49
