motif_name,WT_Tfh_vs_WT_Th1,DKO_Th1_vs_WT_Th1,DKO_Th1_vs_Bcl6KO_Th1,DKO_Tfh_vs_WT_Tfh,DKO_Tfh_vs_Prdm1KO_Tfh
"bZIP:IRF(bZIP,IRF)",11.61,6.39,6.12,10.68,12.29
FEA4(bZIP),25.64,28.31,27.48,24.61,25.17
AP-1(bZIP),21.54,24.51,19.05,29.99,33.96
bZIP50(bZIP),19.38,24.96,22.31,21.88,23.65
MafA(bZIP),18.99,23.74,21.77,22.05,23.15
Atf3(bZIP),18.7,22.68,17.28,27.82,32.54
BATF(bZIP),18.61,22.07,16.46,27.73,32.67
JunB(bZIP),16.64,18.87,14.97,25.09,29.54
Fra1(bZIP),16.22,19.63,14.83,24.7,29.64
Atf1(bZIP),16.19,22.07,20.0,15.8,16.57
Fra2(bZIP),14.7,17.2,13.06,22.48,26.65
Atf7(bZIP),13.61,18.11,17.96,12.59,12.47
HY5(bZIP),13.22,15.07,15.37,16.1,16.01
TGA6(bZIP),12.77,16.89,15.92,13.19,14.17
TGA10(bZIP),12.74,17.2,14.97,12.98,14.13
Fosl2(bZIP),12.03,13.85,10.75,18.49,21.91
TGA2(bZIP),11.16,14.76,13.06,11.46,13.21
MafB(bZIP),10.19,13.09,10.75,12.02,13.35
Atf2(bZIP),10.06,14.0,13.33,9.07,8.88
TGA1(bZIP),9.71,12.63,11.7,9.68,10.72
c-Jun-CRE(bZIP),9.19,13.09,12.79,8.42,8.01
Jun-AP1(bZIP),8.9,10.65,8.16,14.24,16.89
TGA4(bZIP),7.06,10.35,9.39,6.99,7.87
Bach2(bZIP),6.22,8.22,5.58,10.76,12.33
USF1(bHLH),8.48,9.74,10.07,11.41,11.04
KLF5(Zf),36.86,29.83,33.2,25.61,24.9
KLF6(Zf),30.12,22.83,24.76,20.23,20.16
Sp5(Zf),23.86,22.53,19.86,21.83,21.86
KLF3(Zf),18.03,13.39,14.97,11.24,10.63
Klf4(Zf),17.38,10.81,12.24,8.33,8.28
Egr1(Zf),13.8,17.81,13.61,18.88,19.47
Klf9(Zf),11.93,10.05,9.52,9.2,9.39
EKLF(Zf),11.83,7.31,8.57,4.43,4.74
AT1G76870(Trihelix),10.58,8.07,7.35,9.29,8.84
Tbr1(T-box),40.76,34.25,35.24,26.09,26.0
Tbet(T-box),38.25,31.81,32.24,22.7,22.27
RUNX1(Runt),50.44,33.33,38.91,26.39,27.01
RUNX2(Runt),43.82,30.14,33.88,22.18,22.32
RUNX(Runt),41.12,24.35,29.93,19.53,20.25
RUNX-AML(Runt),39.25,26.94,30.2,19.92,19.93
CELF2(RRM),10.29,11.72,10.88,8.38,8.38
"NFAT:AP1(RHD,bZIP)",3.55,12.18,6.39,13.11,14.31
NFAT(RHD),16.83,35.92,21.9,30.77,30.88
NFkB-p65(RHD),8.42,8.07,8.03,10.16,13.21
"Oct4(POU,Homeobox)",7.64,11.42,8.71,16.93,18.55
"Oct6(POU,Homeobox)",6.45,9.59,7.35,15.23,16.01
"Brn1(POU,Homeobox)",4.55,7.61,4.76,13.02,14.36
"Oct2(POU,Homeobox)",4.06,7.61,4.76,12.8,14.27
NAP(NAC),13.19,15.98,14.97,14.89,15.23
Mef2b(MADS),12.93,19.18,16.05,13.93,15.05
Mef2a(MADS),7.19,10.2,8.57,7.6,7.87
Mef2c(MADS),7.03,11.57,9.8,8.12,8.74
IRF4(IRF),13.0,10.2,9.93,8.33,9.43
IRF8(IRF),10.32,6.54,5.71,7.81,8.47
Tcf4(HMG),6.58,5.78,5.03,25.91,26.69
Tcf3(HMG),3.42,2.74,1.77,18.23,18.59
Foxo3(Forkhead),13.61,19.94,16.05,21.22,19.7
FOXK2(Forkhead),10.96,13.24,9.8,18.36,17.35
FOXP1(Forkhead),8.58,12.79,9.8,12.85,11.83
"ETS:RUNX(ETS,Runt)",12.87,8.83,12.38,3.47,3.36
ERG(ETS),57.18,56.01,60.14,50.56,47.95
ETV1(ETS),52.53,53.73,57.55,45.1,43.26
ETS1(ETS),47.89,45.81,50.75,39.02,37.28
Fli1(ETS),47.34,48.71,52.79,40.62,38.43
Etv2(ETS),44.92,43.68,49.39,36.68,34.47
EHF(ETS),42.6,41.86,44.22,37.33,36.45
GABPA(ETS),40.12,40.03,44.63,32.6,31.25
EWS:ERG-fusion(ETS),33.92,34.55,36.73,30.56,28.76
SPDEF(ETS),33.22,32.88,34.97,28.73,29.13
EWS:FLI1-fusion(ETS),28.83,29.07,31.02,25.26,24.3
ELF3(ETS),28.64,28.31,28.84,24.26,23.93
PU.1(ETS),25.12,24.35,25.99,18.88,18.27
ELF5(ETS),24.86,24.2,24.9,21.31,20.85
Elk1(ETS),24.83,25.42,27.07,20.18,19.28
Elk4(ETS),23.48,25.11,25.71,19.92,19.7
Ets1-distal(ETS),22.8,23.59,25.03,19.01,17.95
ELF1(ETS),22.61,21.46,23.54,16.58,16.06
ETS(ETS),17.28,16.29,17.01,12.63,12.33
