motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
bZIP50(bZIP),26.14,23.04,22.67,21.0,21.19,23.58
Sp5(Zf),27.81,26.98,29.25,26.33,27.96,29.42
RUNX1(Runt),36.34,33.27,27.93,32.43,30.27,28.2
RUNX2(Runt),30.07,27.93,23.07,26.9,25.35,23.47
RUNX(Runt),28.43,25.22,20.4,24.49,22.98,20.68
RUNX-AML(Runt),27.77,25.64,20.72,24.53,22.91,21.26
ERG(ETS),61.63,59.76,58.59,56.24,54.4,56.79
ETV1(ETS),58.01,56.52,55.02,51.35,49.89,53.5
Fli1(ETS),54.66,52.66,51.77,47.86,46.5,50.52
ETS1(ETS),51.17,50.02,48.1,45.95,43.84,47.39
Etv2(ETS),48.04,47.27,45.59,42.85,41.0,43.74
EHF(ETS),46.31,45.37,44.4,43.24,42.03,43.35
GABPA(ETS),45.3,43.83,43.21,39.32,38.24,41.42
SPDEF(ETS),38.32,36.33,35.65,34.0,32.7,34.13
EWS:ERG-fusion(ETS),36.51,34.82,34.62,33.59,31.81,33.21
EWS:FLI1-fusion(ETS),34.39,32.96,32.19,30.18,28.74,30.82
ELF3(ETS),31.88,30.28,31.24,29.46,28.42,29.35
Elk1(ETS),31.3,29.83,29.55,26.02,25.44,28.89
Elk4(ETS),30.99,29.3,29.15,25.27,24.56,28.45
ELF5(ETS),28.34,27.65,28.09,26.3,25.69,26.36
ELF1(ETS),27.59,27.15,26.51,22.96,22.48,24.94
PU.1(ETS),26.27,25.82,24.6,22.74,21.79,22.85
