motif_name,WT_Tfh_vs_WT_Th1,DKO_Th1_vs_WT_Th1,DKO_Th1_vs_Bcl6KO_Th1,DKO_Tfh_vs_WT_Tfh,DKO_Tfh_vs_Prdm1KO_Tfh
FEA4(bZIP),25.64,28.31,27.48,24.61,25.17
AP-1(bZIP),21.54,24.51,19.05,29.99,33.96
Atf3(bZIP),18.7,22.68,17.28,27.82,32.54
BATF(bZIP),18.61,22.07,16.46,27.73,32.67
JunB(bZIP),16.64,18.87,14.97,25.09,29.54
Fra1(bZIP),16.22,19.63,14.83,24.7,29.64
Fra2(bZIP),14.7,17.2,13.06,22.48,26.65
KLF5(Zf),36.86,29.83,33.2,25.61,24.9
KLF6(Zf),30.12,22.83,24.76,20.23,20.16
Tbr1(T-box),40.76,34.25,35.24,26.09,26.0
Tbet(T-box),38.25,31.81,32.24,22.7,22.27
RUNX1(Runt),50.44,33.33,38.91,26.39,27.01
RUNX2(Runt),43.82,30.14,33.88,22.18,22.32
RUNX(Runt),41.12,24.35,29.93,19.53,20.25
RUNX-AML(Runt),39.25,26.94,30.2,19.92,19.93
NFAT(RHD),16.83,35.92,21.9,30.77,30.88
Tcf4(HMG),6.58,5.78,5.03,25.91,26.69
ERG(ETS),57.18,56.01,60.14,50.56,47.95
ETV1(ETS),52.53,53.73,57.55,45.1,43.26
ETS1(ETS),47.89,45.81,50.75,39.02,37.28
Fli1(ETS),47.34,48.71,52.79,40.62,38.43
Etv2(ETS),44.92,43.68,49.39,36.68,34.47
EHF(ETS),42.6,41.86,44.22,37.33,36.45
GABPA(ETS),40.12,40.03,44.63,32.6,31.25
EWS:ERG-fusion(ETS),33.92,34.55,36.73,30.56,28.76
SPDEF(ETS),33.22,32.88,34.97,28.73,29.13
EWS:FLI1-fusion(ETS),28.83,29.07,31.02,25.26,24.3
ELF3(ETS),28.64,28.31,28.84,24.26,23.93
PU.1(ETS),25.12,24.35,25.99,18.88,18.27
Elk1(ETS),24.83,25.42,27.07,20.18,19.28
Elk4(ETS),23.48,25.11,25.71,19.92,19.7
Ets1-distal(ETS),22.8,23.59,25.03,19.01,17.95
