motif_name,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
ANAC047(NAC),-0.6999999999999993,-0.21000000000000085,-1.1099999999999994,-0.9900000000000002,0.39000000000000057
Atf1(bZIP),-2.780000000000001,-2.830000000000002,-4.240000000000002,-4.32,-2.3200000000000003
Atf2(bZIP),-1.790000000000001,-2.290000000000001,-3.540000000000001,-3.8500000000000005,-2.42
Atf7(bZIP),-1.8099999999999987,-2.24,-3.34,-3.639999999999999,-2.0599999999999987
CLOCK(bHLH),-0.5,0.8699999999999992,0.6499999999999986,0.11999999999999922,1.0199999999999996
EHF(ETS),-0.9400000000000048,-1.9100000000000037,-3.0700000000000003,-4.280000000000001,-2.960000000000001
ELF1(ETS),-0.4400000000000013,-1.0799999999999983,-4.629999999999999,-5.109999999999999,-2.6499999999999986
ELF3(ETS),-1.5999999999999979,-0.6400000000000006,-2.419999999999998,-3.4599999999999973,-2.5299999999999976
ELF5(ETS),-0.6900000000000013,-0.25,-2.039999999999999,-2.6499999999999986,-1.9800000000000004
ERG(ETS),-1.8700000000000045,-3.039999999999999,-5.390000000000001,-7.230000000000004,-4.840000000000003
ETS(ETS),-0.8099999999999987,-1.629999999999999,-4.539999999999999,-5.219999999999999,-3.1499999999999986
ETS1(ETS),-1.1499999999999986,-3.0700000000000003,-5.219999999999999,-7.329999999999998,-3.780000000000001
"ETS:RUNX(ETS,Runt)",-0.05000000000000071,-3.5599999999999996,-4.7299999999999995,-5.3,-4.6899999999999995
ETV1(ETS),-1.4899999999999949,-2.989999999999995,-6.659999999999997,-8.119999999999997,-4.509999999999998
EWS:ERG-fusion(ETS),-1.6899999999999977,-1.8900000000000006,-2.9199999999999946,-4.699999999999999,-3.299999999999997
EWS:FLI1-fusion(ETS),-1.4299999999999997,-2.200000000000003,-4.210000000000001,-5.650000000000002,-3.5700000000000003
Elk1(ETS),-1.4700000000000024,-1.75,-5.280000000000001,-5.859999999999999,-2.41
Elk4(ETS),-1.6899999999999977,-1.8399999999999999,-5.719999999999999,-6.43,-2.539999999999999
Ets1-distal(ETS),-0.16000000000000014,-0.75,-2.400000000000002,-3.6700000000000017,-1.9800000000000004
Etv2(ETS),-0.769999999999996,-2.4499999999999957,-5.189999999999998,-7.039999999999999,-4.299999999999997
Fli1(ETS),-2.0,-2.8899999999999935,-6.799999999999997,-8.159999999999997,-4.1399999999999935
GABPA(ETS),-1.4699999999999989,-2.0899999999999963,-5.979999999999997,-7.059999999999995,-3.8799999999999955
HY5(bZIP),-2.240000000000002,-1.2700000000000031,-2.8800000000000026,-2.770000000000003,-1.5700000000000003
KLF3(Zf),-0.3099999999999987,-0.41999999999999993,-2.34,-1.3099999999999987,-0.3899999999999988
Klf4(Zf),0.2699999999999996,-1.1000000000000014,-1.42,-0.9900000000000002,-0.3100000000000005
Klf9(Zf),-0.6500000000000004,-1.0,-1.6400000000000006,-0.7699999999999996,-0.41000000000000014
NAP(NAC),-1.3599999999999994,-0.6300000000000026,-1.8399999999999999,-2.0100000000000016,-0.33000000000000185
PU.1(ETS),-0.4499999999999993,-1.6699999999999982,-3.530000000000001,-4.48,-3.419999999999998
RUNX(Runt),-3.210000000000001,-8.030000000000001,-3.9400000000000013,-5.449999999999999,-7.75
RUNX-AML(Runt),-2.129999999999999,-7.050000000000001,-3.2399999999999984,-4.859999999999999,-6.509999999999998
RUNX1(Runt),-3.0700000000000003,-8.410000000000004,-3.9100000000000037,-6.070000000000004,-8.140000000000004
RUNX2(Runt),-2.1400000000000006,-7.0,-3.1700000000000017,-4.719999999999999,-6.600000000000001
SPDEF(ETS),-1.990000000000002,-2.6700000000000017,-4.32,-5.619999999999997,-4.189999999999998
Sp5(Zf),-0.8299999999999983,1.4400000000000013,-1.4800000000000004,0.15000000000000213,1.610000000000003
SpiB(ETS),-1.0600000000000005,-0.45000000000000107,-1.6100000000000012,-1.950000000000001,-1.2400000000000002
TGA1(bZIP),-1.4399999999999995,-1.6199999999999992,-2.9000000000000004,-2.879999999999999,-1.6999999999999993
TGA10(bZIP),-2.740000000000002,-3.2200000000000006,-4.530000000000001,-4.610000000000001,-2.5900000000000016
TGA2(bZIP),-2.679999999999998,-3.219999999999999,-4.949999999999999,-4.8199999999999985,-3.009999999999998
TGA6(bZIP),-2.839999999999998,-2.6499999999999986,-4.609999999999999,-4.409999999999998,-2.459999999999999
Tcf3(HMG),-0.25,3.119999999999999,6.969999999999999,6.18,3.2399999999999984
Tcf4(HMG),0.009999999999999787,4.079999999999998,9.73,9.11,4.329999999999998
USF1(bHLH),-0.3800000000000008,1.0099999999999998,1.0199999999999996,0.6400000000000006,1.3499999999999996
bZIP50(bZIP),-3.1000000000000014,-3.469999999999999,-5.140000000000001,-4.949999999999999,-2.5600000000000023
c-Jun-CRE(bZIP),-1.4699999999999989,-1.5899999999999999,-2.76,-2.96,-1.7699999999999996
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished),-0.27000000000000135,1.5099999999999998,0.5299999999999994,0.8499999999999996,1.3899999999999988
