motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
AP-1(bZIP),5.520000000000003,6.640000000000001,2.0700000000000003,-0.8399999999999963,1.0
AT1G76870(Trihelix),0.5400000000000009,0.34999999999999964,0.9000000000000004,0.25,0.7800000000000011
AT2G31460(REMB3),0.7599999999999998,1.0500000000000007,0.6600000000000001,0.19000000000000128,0.39000000000000057
Atf3(bZIP),6.07,7.020000000000003,2.3500000000000014,-1.2100000000000009,1.1400000000000006
BATF(bZIP),6.429999999999996,7.510000000000002,2.7300000000000004,-1.1400000000000006,1.4899999999999984
Bach2(bZIP),3.0100000000000016,3.200000000000001,0.8500000000000014,-0.379999999999999,0.3100000000000005
"Brn1(POU,Homeobox)",3.1400000000000006,2.960000000000001,0.23000000000000043,-0.23000000000000043,-0.2599999999999998
EHF(ETS),-3.719999999999999,-3.8999999999999986,-3.1199999999999974,1.6099999999999994,-2.1499999999999986
ELF1(ETS),-3.6799999999999997,-3.5199999999999996,-3.3599999999999994,0.7899999999999991,-2.0400000000000027
ELF3(ETS),-2.8100000000000023,-3.1000000000000014,-2.240000000000002,1.5999999999999979,-1.2900000000000027
ELF5(ETS),-2.4200000000000017,-2.4400000000000013,-1.9600000000000009,1.3499999999999979,-1.2600000000000016
ERG(ETS),-5.0,-5.920000000000002,-3.780000000000001,1.6799999999999997,-2.6000000000000014
ETS(ETS),-2.790000000000001,-2.6900000000000013,-2.2700000000000014,0.879999999999999,-1.3600000000000012
ETS1(ETS),-5.579999999999998,-6.229999999999997,-4.280000000000001,1.5700000000000003,-2.9200000000000017
ETV1(ETS),-5.369999999999997,-5.810000000000002,-4.780000000000001,1.5399999999999991,-3.490000000000002
EWS:ERG-fusion(ETS),-3.09,-3.289999999999999,-2.34,1.490000000000002,-1.4199999999999982
EWS:FLI1-fusion(ETS),-3.210000000000001,-3.4700000000000024,-2.5,1.259999999999998,-1.7000000000000028
Egr1(Zf),1.5700000000000003,1.5300000000000011,-1.1699999999999982,-1.4499999999999993,-0.8299999999999983
