motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
bZIP50(bZIP),5.140000000000001,2.039999999999999,1.6700000000000017,0.19000000000000128,2.5799999999999983
JunB(bZIP),-2.9400000000000004,-3.2,-1.9400000000000004,0.10999999999999943,-1.7599999999999998
Atf3(bZIP),-3.0700000000000003,-3.58,-2.24,-0.05000000000000071,-2.0600000000000005
BATF(bZIP),-2.9800000000000004,-3.6400000000000006,-2.1900000000000013,-0.11000000000000121,-2.1000000000000014
FEA4(bZIP),2.740000000000002,0.8300000000000018,1.1799999999999997,-0.18999999999999773,2.1300000000000026
Fos+M2278(bZIP),-2.3,-2.8,-1.5600000000000005,-0.04999999999999982,-1.1799999999999997
Fosl1+M0296(bZIP),-0.10000000000000142,-2.889999999999997,-0.36999999999999744,-0.19999999999999574,0.490000000000002
Fosl2(bZIP),-1.9800000000000004,-2.38,-1.3899999999999997,-0.009999999999999787,-1.0099999999999998
Fra1(bZIP),-2.58,-3.04,-1.79,0.14000000000000057,-1.4000000000000004
Jun+M0311(bZIP),0.6699999999999982,-1.3800000000000008,-1.33,-0.5800000000000018,-0.5899999999999999
Fra2(bZIP),-2.37,-2.74,-1.75,0.11999999999999922,-1.3399999999999999
AP-1(bZIP),-2.869999999999999,-3.719999999999999,-2.3599999999999994,0.040000000000000924,-1.9699999999999989
KLF6(Zf),3.1199999999999974,2.34,2.469999999999999,1.3399999999999999,2.4800000000000004
Sp5(Zf),1.4800000000000004,0.6500000000000021,2.9200000000000017,1.6300000000000026,3.0900000000000034
KLF14(Zf),3.6499999999999986,1.9699999999999989,3.3100000000000023,1.5600000000000023,2.9200000000000017
KLF5(Zf),3.3000000000000043,3.230000000000004,2.4299999999999997,1.4000000000000021,2.6300000000000026
Egr3+M0414(Zf),-0.030000000000001137,-0.28000000000000114,2.59,2.1400000000000006,3.240000000000002
Tbr1(T-box),-1.370000000000001,-2.5,-2.8999999999999986,-1.1999999999999993,-1.9699999999999989
Tbx6(T-box),-0.46000000000000085,-0.41000000000000014,-1.620000000000001,-0.5,-0.6699999999999982
Tbx21(T-box),-0.5499999999999972,-1.6999999999999993,-2.139999999999997,-0.8599999999999994,-1.2299999999999969
Tbet(T-box),-0.4700000000000024,-1.0,-2.0199999999999996,-0.8399999999999999,-0.6400000000000006
Tbx2+M1626(T-box),-0.4299999999999997,-0.6099999999999994,-2.5500000000000007,-0.1999999999999993,-0.870000000000001
Tbx10+M1628(T-box),0.1999999999999993,-0.5500000000000007,-0.8300000000000001,-0.5600000000000005,-0.2699999999999996
RUNX2(Runt),3.1700000000000017,1.0300000000000011,-3.8299999999999983,-1.5499999999999972,-3.4299999999999997
RUNX(Runt),3.9400000000000013,0.7300000000000004,-4.09,-1.509999999999998,-3.8099999999999987
RUNX-AML(Runt),3.2399999999999984,1.1099999999999994,-3.8100000000000023,-1.620000000000001,-3.2699999999999996
RUNX1(Runt),3.9100000000000037,0.8400000000000034,-4.5,-2.16,-4.23
NFAT(RHD),-2.4499999999999993,-2.7200000000000006,-0.7099999999999991,-0.14000000000000057,0.3000000000000007
Nfatc2+M1518(NFAT),-4.48,-4.960000000000001,-1.129999999999999,0.3200000000000003,-0.05000000000000071
Nfatc3+M1517(NFAT),-4.68,-5.600000000000001,-1.4800000000000004,-0.03999999999999915,-0.2699999999999996
Nfat5+M1519(NFAT),-3.41,-4.149999999999999,-1.5299999999999976,-0.2799999999999976,-0.9299999999999997
Irf5+M1267(IRF),-1.389999999999997,-2.469999999999999,-2.0299999999999976,-0.36999999999999744,-1.75
Tcf7l2+M1585(HMG),-11.930000000000003,-12.760000000000002,-7.050000000000004,-1.3300000000000054,-6.440000000000005
Tcf7(HMG),-7.73,-8.29,-4.74,-0.8299999999999983,-4.879999999999999
LEF1(HMG),-10.919999999999998,-11.25,-6.09,-0.9100000000000001,-5.489999999999998
Tcf4(HMG),-9.73,-9.72,-5.650000000000002,-0.620000000000001,-5.400000000000002
EHF(ETS),3.0700000000000003,2.1299999999999955,1.1599999999999966,-1.2100000000000009,0.10999999999999943
EWS:ERG-fusion(ETS),2.9199999999999946,1.2299999999999969,1.029999999999994,-1.7800000000000047,-0.38000000000000256
ELF1(ETS),4.629999999999999,4.189999999999998,3.5500000000000007,-0.4800000000000004,1.9800000000000004
ELF3(ETS),2.419999999999998,0.8200000000000003,1.7799999999999976,-1.0399999999999991,-0.10999999999999943
ELF5(ETS),2.039999999999999,1.3499999999999979,1.7899999999999991,-0.6099999999999994,0.05999999999999872
ETS+M0698(ETS),6.109999999999999,4.799999999999997,3.740000000000002,-0.7899999999999991,2.990000000000002
ERG(ETS),5.390000000000001,3.519999999999996,2.3500000000000014,-1.8400000000000034,0.5499999999999972
ETS1(ETS),5.219999999999999,4.07,2.1499999999999986,-2.1099999999999994,1.4399999999999977
ETV1(ETS),6.659999999999997,5.170000000000002,3.6700000000000017,-1.4600000000000009,2.1499999999999986
ETV4(ETS),6.5,4.969999999999999,3.9399999999999977,-1.0399999999999991,2.789999999999999
SPDEF(ETS),4.32,2.3299999999999983,1.6499999999999986,-1.2999999999999972,0.13000000000000256
EWS:FLI1-fusion(ETS),4.210000000000001,2.780000000000001,2.009999999999998,-1.4400000000000013,0.6400000000000006
Elf2+M0708(ETS),3.940000000000005,2.8800000000000026,2.729999999999997,-1.1099999999999994,1.7899999999999991
Elf4(ETS),3.690000000000005,2.940000000000005,2.190000000000005,-1.1599999999999966,1.4299999999999997
Elk1(ETS),5.280000000000001,3.8099999999999987,3.530000000000001,-0.5799999999999983,2.870000000000001
Elk3+M0692(ETS),5.439999999999998,4.359999999999999,3.849999999999998,-0.5500000000000007,3.0199999999999996
Elk4(ETS),5.719999999999999,4.030000000000001,3.879999999999999,-0.7100000000000009,3.1799999999999997
Ets1-distal(ETS),2.400000000000002,2.240000000000002,1.6500000000000021,-1.2699999999999996,0.4200000000000017
Etv2(ETS),5.189999999999998,4.420000000000002,2.740000000000002,-1.8500000000000014,0.8900000000000006
Etv6+M0705(ETS),4.330000000000005,3.1400000000000006,2.1799999999999997,-0.8800000000000026,1.2199999999999989
GABPA(ETS),5.979999999999997,4.509999999999998,3.8900000000000006,-1.0799999999999983,2.1000000000000014
ERF+M0714(ETS),2.960000000000008,2.490000000000009,1.5200000000000102,-0.9200000000000017,1.0900000000000034
PU.1(ETS),3.530000000000001,3.080000000000002,1.860000000000003,-0.9499999999999993,0.11000000000000298
Fli1(ETS),6.799999999999997,4.799999999999997,3.9100000000000037,-1.3599999999999994,2.6600000000000037
